# ============================================================================
# Home Boehmecke Infrastructure - AI Reference Document
# ============================================================================
# This file provides context for automated diagnostics. Keep it updated.
# Last updated: 2026-03-01
# ============================================================================

# ============================================================================
# NETWORK TOPOLOGY
# ============================================================================
# Three VRFs with distinct security zones:
#
# VRF vs001 (Internet):
#   VLAN 2  | Untrust           | WAN/Internet facing
#
# VRF vs002 (DMZ):
#   VLAN 11 | Nachbar           | 192.168.170.0/29  | Neighbor network
#   VLAN 12 | DMZ               | 192.168.255.80/28 | DMZ servers
#   VLAN 13 | Transfer          | 192.168.255.64/28 | Inter-VRF routing
#   VLAN 18 | Guest-WLAN        | 192.168.255.96/28 | Guest wireless
#   VLAN 21 | Services          | 192.168.190.8/29  | IaC services (vs002-services00)
#
# VRF vs003 (Backend/Trust):
#   VLAN 3  | Server            | 192.168.0.160/27, 192.168.179.0/24 | Production servers
#   VLAN 4  | WLAN Clients      | 192.168.188.0/24  | Wireless clients
#   VLAN 5  | Gaming            | 192.168.181.0/28  | Gaming devices
#   VLAN 6  | Cameras           | 192.168.189.0/27  | Security cameras
#   VLAN 7  | FW Management     | 192.168.175.0/29  | Firewall management
#   VLAN 8  | Multimedia        | 192.168.179.0/24  | Media devices
#   VLAN 10 | SW Management     | 192.168.175.8/29  | Switch management
#   VLAN 14 | AP Management     | 192.168.175.16/29 | Access point management
#   VLAN 15 | Admin             | 192.168.190.0/29  | Administrative access
#   VLAN 16 | Home              | 192.168.190.128/25| Home automation
#   VLAN 17 | Work              | 192.168.190.32/28 | Work devices
#   VLAN 19 | Vault Isolated    | 192.168.190.16/28 | Secrets management (isolated)
#   VLAN 20 | IaC Zone          | 192.168.190.64/28 | IaC orchestration (vs003-iac00)
#
# Management access: All hosts reachable via hbcadm01 or hbcadm02 (VLAN 15)

# ============================================================================
# HOSTS
# ============================================================================
# Format: hostname | type | vlan | role | description

# --- Hypervisor ---
hbpm01.internal.boehmecke.org | hypervisor | 3 | proxmox | Primary Proxmox host, all VMs/containers, local LVM storage (lvm_m2_2tb)

# --- Administrative ---
hbcadm01.internal.boehmecke.org | ctx | 15 | admin-jumpserver | IaC-managed admin workstation, replacing hbcsrv14 (CTID 202)
hbcadm02.internal.boehmecke.org | ctx | 15 | emergency-admin | Alpine emergency fallback, no IaC deps (CTID 112, pet)
hbcsrv14.internal.boehmecke.org | ctx | 15 | jumpserver-legacy | Legacy jumpserver, being replaced by hbcadm01

# --- DNS & DHCP ---
hbcsrv01.internal.boehmecke.org | ctx | 3 | dns-primary | BIND primary DNS
hbcsrv02.internal.boehmecke.org | ctx | 3 | dns-secondary | BIND secondary DNS
hbcsrv03.internal.boehmecke.org | ctx | 3 | dhcp-primary | ISC DHCP primary
hbcsrv04.internal.boehmecke.org | ctx | 3 | dhcp-secondary | ISC DHCP secondary

# --- Authentication & Secrets ---
hbcsrv05.internal.boehmecke.org | ctx | 3 | freeradius | FreeRADIUS + Certificate Authority (dynamic_clients enabled)
hbcvau01.internal.boehmecke.org | ctx | 19 | vault-server | HashiCorp Vault, centralized IaC secrets management (CTID 107)

# --- Web & Applications ---
hbcsrv06.internal.boehmecke.org | ctx | 3 | webserver-legacy | Apache reverse proxy, legacy Docker host (migrating to hbcweb01/02)
hbcsrv07.internal.boehmecke.org | ctx | 3 | wlan-controller | TP-Link Omada controller
hbcsrv08.internal.boehmecke.org | ctx | 3 | mediaserver | Jellyfin, mounts NFS from hblanmc
hbcweb01.internal.boehmecke.org | ctx | 3 | webserver | IaC Apache web server, static files + Observium agent host (CTID 203)
hbcweb02.internal.boehmecke.org | ctx | 3 | reverse-proxy | IaC Apache reverse proxy, HTTPS (CTID 204)

# --- Source Control ---
hbcgit01.internal.boehmecke.org | ctx | 3 | gitea | Self-hosted Gitea, HTTPS on 443 (CTID 201)

# --- DMZ ---
hbcdmz01.internal.boehmecke.org | ctx | 12 | dmz-alpine | IaC Alpine DMZ server, fail2ban (CTID 205)
hbcsrv10.internal.boehmecke.org | ctx | 12 | dmz-legacy | Legacy DMZ Linux server (being replaced by hbcdmz01)

# --- Databases ---
hbcsrv12.internal.boehmecke.org | ctx | 3 | mysql | Central MySQL server for all applications

# --- Monitoring & Logging ---
hbcsrv13.internal.boehmecke.org | ctx | 3 | monitoring | Observium + Syslog receiver (disk fills quickly)

# --- Docker Infrastructure ---
hbcsrv15.internal.boehmecke.org | ctx | 3 | elasticsearch | ElasticSearch + Apache Tika
hbcsrv16.internal.boehmecke.org | ctx | 3 | docker-primary | Portainer CE (master), Radicale

# --- IaC Infrastructure ---
hbciac01.internal.boehmecke.org | ctx | 20 | iac-orchestration | Terraform + Ansible orchestration host (CTID 111)
hbcapt01.internal.boehmecke.org | ctx | 21 | apt-cacher | apt-cacher-ng proxy for all containers (CTID 200)

# --- Other ---
hbcsrv17.internal.boehmecke.org | ctx | 3 | cron | Scheduled tasks server (currently idle)

# --- Virtual Machines ---
hbvsrv03.internal.boehmecke.org | vm | 3 | ntp | NTP server for infrastructure
hbvsrv15.internal.boehmecke.org | vm | 16 | homeassistant | Home Assistant (alias: hbhass)

# --- Network Equipment (access via hbcadm01/hbcadm02) ---
hbfwmgmt.internal.boehmecke.org | appliance | 7 | firewall | FortiGate 50E, main firewall (1024 custom services/VDOM limit)
